"Time Stamp","Current Quantity","Openeing Quantity","Stock","City","Product"
"2024-01-21 04:55:00","54","54","10000","Pune","New FF A2 500ml"
"2024-01-21 23:55:00","51","53","99","Pune","New FF A2 500ml"
"2024-01-22 04:55:00","57","57","10000","Pune","New FF A2 500ml"
"2024-01-22 23:55:00","51","51","89","Pune","New FF A2 500ml"
"2024-01-23 04:55:00","54","54","10000","Pune","New FF A2 500ml"
"2024-01-23 23:55:00","57","57","18","Pune","New FF A2 500ml"
"2024-01-24 04:55:00","59","59","10000","Pune","New FF A2 500ml"
"2024-01-24 23:55:00","53","53","97","Pune","New FF A2 500ml"
"2024-01-25 04:55:00","52","52","10000","Pune","New FF A2 500ml"
"2024-01-25 23:55:00","52","52","78","Pune","New FF A2 500ml"
"2024-01-26 04:55:00","57","57","10000","Pune","New FF A2 500ml"
"2024-01-26 23:55:00","48","49","82","Pune","New FF A2 500ml"
"2024-01-27 04:55:00","48","48","10000","Pune","New FF A2 500ml"
"2024-01-27 23:55:00","48","49","72","Pune","New FF A2 500ml"
"2024-01-28 04:55:00","59","59","10000","Pune","New FF A2 500ml"
"2024-01-28 23:55:00","62","62","78","Pune","New FF A2 500ml"
"2024-01-29 04:55:00","53","53","10000","Pune","New FF A2 500ml"
"2024-01-29 23:55:00","49","49","79","Pune","New FF A2 500ml"
"2024-01-30 04:55:00","63","63","10000","Pune","New FF A2 500ml"
"2024-01-30 23:55:00","61","61","79","Pune","New FF A2 500ml"
"2024-01-31 04:55:00","51","51","10000","Pune","New FF A2 500ml"
"2024-01-31 23:55:00","46","46","84","Pune","New FF A2 500ml"
"2024-02-01 04:55:00","62","62","10000","Pune","New FF A2 500ml"
"2024-02-01 23:55:00","62","61","98","Pune","New FF A2 500ml"
"2024-02-02 04:55:00","53","53","10000","Pune","New FF A2 500ml"
"2024-02-02 23:55:00","47","48","65","Pune","New FF A2 500ml"
"2024-02-03 04:55:00","59","59","10000","Pune","New FF A2 500ml"
"2024-02-03 23:55:00","56","56","74","Pune","New FF A2 500ml"
"2024-02-04 04:55:00","54","54","6","Pune","New FF A2 500ml"
"2024-02-04 23:55:00","49","49","11","Pune","New FF A2 500ml"
"2024-02-05 04:55:00","60","60","10000","Pune","New FF A2 500ml"
"2024-02-05 23:55:00","56","56","74","Pune","New FF A2 500ml"
